Tribe,Country,Image,Description,Face shape:,Eye shape and size:,Nose shape:,Mouth shape:,Presence and style of scarification or tattoos:,Presence and type of headdress or hair representation:,Color palette used:,Presence of additional elements:,Overall size and proportions:,Material used:,Surface texture:,Presence and style of geometric patterns:,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/80530_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/80516_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/80505_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/80439_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/80373_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/80354_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
 Agni,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/80344_port.jpg,Les Agni de Côte d'Ivoire et du Ghana sont célèbres pour leur royaume historique et leurs poids à peser l'or finement décorés.,Elongated,Small,Beak-like,Small closed,Absent,Elaborate,Vibrant,Animal features,Extra large,Wood,Smooth,Geometric,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/80331_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/79837_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/79825_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/05/79809_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/04/79641_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/04/79462_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/04/79449_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/04/79432_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/04/79420_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/04/79406_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/04/79283_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/04/79091_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/03/78844_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/03/78764_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Gouro ,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/03/78389_port.jpg,"Les Gouro de Côte d'Ivoire sont réputés pour leurs masques zoomorphes et anthropomorphes, utilisés dans les danses rituelles liées à l'agriculture.",Round,Large,Wide,Open,Geometric,Elaborate,Vibrant,Multiple faces,Large,Wood,Rough,Geometric,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/03/78354_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/03/78343_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/03/78262_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/03/78252_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Senoufo,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/02/78067_port.jpg,"Les Senoufo de Côte d'Ivoire, du Mali et du Burkina Faso sont connus pour leurs masques kpelié aux traits délicats, utilisés dans les cérémonies de la société du Poro.",Oval,Large,Wide,Open,Geometric,Elaborate,Vibrant,Symbolic objects,Medium,Wood,Smooth,Geometric,
Gouro ,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/02/78055_port.jpg,"Les Gouro de Côte d'Ivoire sont réputés pour leurs masques zoomorphes et anthropomorphes, utilisés dans les danses rituelles liées à l'agriculture.",Round,Large,Wide,Open,Geometric,Elaborate,Vibrant,Multiple faces,Large,Wood,Rough,Geometric,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/02/78045_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Bete ,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/02/77875_port.jpg,"Les Bete de Côte d'Ivoire sont reconnus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection du village.",Rectangular,Small,Thin,Small closed,Geometric,Elaborate,Natural wood,None,Medium,Wood,Smooth,Geometric,
Kran,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/02/77839_port.jpg,Les Kran de Côte d'Ivoire et du Libéria sont connus pour leurs masques de guerre aux traits exagérés et effrayants.,Oval,Slit,Thin,Small closed,Linear,Simple cap,Natural wood,None,Small,Wood,Smooth,Linear,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2022/01/77397_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/12/77307_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Gouro ,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/12/77240_port.jpg,"Les Gouro de Côte d'Ivoire sont réputés pour leurs masques zoomorphes et anthropomorphes, utilisés dans les danses rituelles liées à l'agriculture.",Round,Large,Wide,Open,Geometric,Elaborate,Vibrant,Multiple faces,Large,Wood,Rough,Geometric,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/12/77087_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/12/76872_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/12/76861_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
"Dan / Yacouba",Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/11/76550_port.jpg,"Le peuple Dan de Côte d'Ivoire et du Libéria est célèbre pour ses masques de course, utilisés lors de compétitions rituelles entre villages.",Concave,Slit,Thin,Small closed,Absent,Simple cap,Natural wood,None,Medium,Wood,Smooth,Absent,
 Yohoure,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/11/76539_port.jpg,"Les Yohoure de Côte d'Ivoire sont réputés pour leurs masques portrayant des visages humains stylisés, utilisés dans les cérémonies rituelles.",Round,Large,Wide,Full lips,Tribal-specific,Elaborate,Vibrant,Beads/cowries,Medium,Wood,Smooth,Circular,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/11/76506_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/11/76497_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/11/76487_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/11/76308_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
 Agni,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/11/76299_port.jpg,Les Agni de Côte d'Ivoire et du Ghana sont célèbres pour leur royaume historique et leurs poids à peser l'or finement décorés.,Elongated,Small,Beak-like,Small closed,Absent,Elaborate,Vibrant,Animal features,Extra large,Wood,Smooth,Geometric,
Gouro ,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/11/76112_port.jpg,"Les Gouro de Côte d'Ivoire sont réputés pour leurs masques zoomorphes et anthropomorphes, utilisés dans les danses rituelles liées à l'agriculture.",Round,Large,Wide,Open,Geometric,Elaborate,Vibrant,Multiple faces,Large,Wood,Rough,Geometric,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/11/75982_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Baoule,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/10/75466_port.jpg,"Les Baoulé de Côte d'Ivoire sont réputés pour leurs statues en bois ""blolo bian"" et ""blolo bla"", représentant des époux spirituels dans le monde invisible.",Oval,Large,Thin,Small closed protruding lips,Linear,Elaborate,Natural wood,Symbolic objects,Medium,Wood,Smooth,Absent,
Guerre,Cote d'Ivoire,https://www.art-masque-africain.com//images/2021/09/75356_port.jpg,"Les Guerre de Côte d'Ivoire sont connus pour leurs masques en bois aux traits exagérés, utilisés dans les rituels de protection et les cérémonies funéraires.",Rectangular,Slit,Protruding,Grimacing,Geometric,Elaborate,Earth tones,Animal features,Large,Wood,Rough,Geometric,
